ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
PHAT,-0.368363,-0.368363,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.316755,-0.316755,0.0,OK,33.4841,33.4841,0.0,OK,1.2055,1.2055,,0.0,OK,-0.326951,-0.326951,,0.0,OK
IVVD,-0.461806,-0.461806,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.410198,-0.410198,0.0,OK,35.9632,35.9632,0.0,OK,0.7993,0.7993,,0.0,OK,-0.438536,-0.438536,,0.0,OK
MRUS,-0.072261,-0.072261,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.020653,-0.020653,0.0,OK,14.6757,14.6757,0.0,OK,0.0959,0.0959,,0.0,OK,-0.063382,-0.063382,,0.0,OK
NVCR,-0.48574,-0.48574,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.434132,-0.434132,0.0,OK,45.8573,45.8573,0.0,OK,0.9826,0.9826,,0.0,OK,-0.121333,-0.121333,,0.0,OK
TEM,-0.434673,-0.434673,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.383065,-0.383065,0.0,OK,48.3007,48.3007,0.0,OK,1.0636,1.0636,,0.0,OK,-0.247475,-0.247475,,0.0,OK
ZLAB,-0.534278,-0.534278,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.48267,-0.48267,0.0,OK,62.625,62.625,0.0,OK,0.5532,0.5532,,0.0,OK,-0.039514,-0.039514,,0.0,OK
ABSI,-0.489403,-0.489403,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.437795,-0.437795,0.0,OK,42.3915,42.3915,0.0,OK,1.9586,1.9586,,0.0,OK,-0.239,-0.239,,0.0,OK
GOSS,-0.437995,-0.437995,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.386387,-0.386387,0.0,OK,36.0483,36.0483,0.0,OK,1.0136,1.0136,,0.0,OK,-0.378152,-0.378152,,0.0,OK
IKT,-0.460123,-0.460123,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.408515,-0.408515,0.0,OK,55.336,55.336,0.0,OK,0.7914,0.7914,,0.0,OK,0.12325,0.12325,,0.0,OK
LYEL,-0.445596,-0.445596,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.393988,-0.393988,0.0,OK,36.294,36.294,0.0,OK,1.65,1.65,,0.0,OK,-0.002175,-0.002175,,0.0,OK
NGNE,-0.486762,-0.486762,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.435154,-0.435154,0.0,OK,47.5001,47.5001,0.0,OK,1.4746,1.4746,,0.0,OK,-0.22863,-0.22863,,0.0,OK
