Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
42,XENE,20.00,20.0,20,20,-9.9,NEGATIVE,late,592087000,90.07180345325929
43,AGIO,21.25,10.0,20,40,34.5,STRONG_POSITIVE,commercial,654059000,17.179453056257195
44,ANRO,21.25,20.0,30,10,-31.1,NEGATIVE,commercial,0,0
45,ARWR,21.25,20.0,30,10,-29.6,NEGATIVE,late,184928000,53.69960072595282
46,AUPH,21.25,20.0,30,10,-34.6,NEGATIVE,late,231643000,15.360432346407611
47,IMVT,21.25,20.0,30,10,-30.5,NEGATIVE,late,376532000,111.91598345428875
48,NTRA,21.25,10.0,20,40,50.2,STRONG_POSITIVE,commercial,516687000,13.144018858804873
49,NTLA,21.88,25.0,20,20,-9.3,NEGATIVE,late,792522000,35.500365819061415
50,AZN,22.50,10.0,30,30,4.0,NEUTRAL,commercial,0,0
51,EYPT,22.50,10.0,30,30,-1.4,NEUTRAL,commercial,144561000,16.964930467267784
52,GMAB,22.50,10.0,30,30,-2.4,NEUTRAL,commercial,0,0
53,ILMN,22.50,20.0,20,30,-6.0,NEGATIVE,late,769000000,2.81599023497101
54,MYGN,22.50,10.0,30,30,-5.0,NEUTRAL,commercial,315400000,139.14705882352942
55,RARE,22.50,10.0,30,30,6.8,POSITIVE,commercial,307584000,8.129525907163703
56,RCUS,22.50,20.0,20,30,-1.9,NEUTRAL,late,761231000,27.76526443768997
57,RGEN,22.50,20.0,20,30,-0.7,NEUTRAL,late,545251550,132.2810706993106
58,ROIV,22.50,30.0,10,30,0.7,NEUTRAL,mid,1676813000,20.628960245557522
59,RPRX,22.50,30.0,10,30,0.0,NEUTRAL,mid,1710751000,0
60,RYTM,22.50,10.0,30,30,-0.6,NEUTRAL,commercial,131674000,22.698500258576107
61,SUPN,22.50,10.0,30,30,6.2,POSITIVE,commercial,229366000,0
62,TBPH,22.50,10.0,30,30,-0.2,NEUTRAL,commercial,298172000,137.90426269945272
63,TEM,22.50,10.0,30,30,0.0,NEUTRAL,commercial,0,0
64,KOD,23.12,25.0,10,40,33.2,STRONG_POSITIVE,late,1020010000,45.84486310348702
65,MCRB,23.12,25.0,30,10,-46.7,NEGATIVE,late,163030000,29.832565799505932
66,MRNA,23.44,32.5,10,30,2.9,NEUTRAL,early,6848000000,177.76700961347098
67,ARDX,23.75,10.0,40,20,-19.6,NEGATIVE,commercial,96140000,7.294154838301774
68,AVXL,23.75,20.0,30,20,-28.2,NEGATIVE,late,151024000,139.7076780758557
69,BCRX,23.75,20.0,30,20,-21.7,NEGATIVE,late,304767000,19.869413567167584
70,CVAC,23.75,20.0,30,20,-21.1,NEGATIVE,late,0,0
71,FOLD,23.75,20.0,30,20,-16.0,NEGATIVE,late,389979000,18.684612313343447
72,GH,23.75,30.0,20,20,-22.5,NEGATIVE,mid,932748000,29.090043402552173
73,GLPG,23.75,20.0,30,20,-22.1,NEGATIVE,late,0,0
74,IMCR,23.75,20.0,30,20,-21.7,NEGATIVE,late,402472000,26.82714451560582
75,KMDA,23.75,20.0,30,20,-9.0,NEGATIVE,late,0,0
76,PRME,23.75,20.0,30,20,-18.3,NEGATIVE,late,187620000,18.48154259117886
77,PTCT,23.75,20.0,30,20,-7.7,NEGATIVE,late,410705000,9.407235336447153
78,QURE,23.75,30.0,20,20,-18.7,NEGATIVE,mid,556256000,285.7601780898155
79,RIGL,23.75,20.0,30,20,-11.8,NEGATIVE,late,236434000,158.3793680919951
80,RXRX,23.75,30.0,20,20,-21.8,NEGATIVE,mid,549912000,35.3870623501842
81,TKNO,23.75,10.0,40,20,-15.4,NEGATIVE,commercial,44047000,11.135164742563411
82,TVTX,23.75,20.0,30,20,-28.4,NEGATIVE,late,262924000,17.519409631797256
83,TXG,23.75,30.0,20,20,-22.4,NEGATIVE,unknown,587447000,121.07524517802241
84,XERS,23.75,20.0,30,20,-27.9,NEGATIVE,late,121966000,11.925785292320228
85,BEAM,24.38,35.0,10,30,3.3,NEUTRAL,early,1405361000,45.500817509267804
86,ACIU,25.00,30.0,30,10,-36.3,NEGATIVE,mid,0,0
87,CRL,25.00,10.0,30,40,16.9,POSITIVE,commercial,245070000,0
88,INDV,25.00,10.0,30,40,14.9,POSITIVE,commercial,0,0
89,IRON,25.00,30.0,30,10,-49.0,NEGATIVE,mid,194611000,49.87148440002562
90,NVCR,25.00,10.0,30,40,7.8,POSITIVE,commercial,208802000,42.94054943360011
91,OCUL,25.00,10.0,30,40,90.2,STRONG_POSITIVE,commercial,164164000,300.62078437356934
92,PHAT,25.00,10.0,30,40,35.0,STRONG_POSITIVE,commercial,155385000,9.430465853744886
93,RAPT,25.00,30.0,30,10,-61.7,NEGATIVE,mid,249068000,35.64989622844056
94,RGNX,25.00,20.0,20,40,18.5,POSITIVE,late,612899000,0
95,SIGA,25.00,10.0,30,40,81.2,STRONG_POSITIVE,commercial,113789972,43.88051942325967
96,TARS,25.00,10.0,30,40,60.0,STRONG_POSITIVE,commercial,217026000,41.94347006812582
97,VNDA,25.00,10.0,30,40,9.6,POSITIVE,commercial,135029000,0
98,ABCL,25.62,25.0,30,20,-13.2,NEGATIVE,late,386535000,27.15861584401897
99,HRMY,25.62,25.0,30,20,-8.2,NEGATIVE,late,243784000,18.01426161065064
100,PHVS,25.62,25.0,30,20,-21.4,NEGATIVE,late,0,0
101,SRRK,25.62,25.0,30,20,-15.5,NEGATIVE,late,315361000,28.135879020386316
