as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,catalyst_strength,mom_state,optionality,catalyst_days_raw,ruleset_id,drawdown_abs,drawdown_xbi,drawdown_rel_xbi,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason,adv_dollars,est_cost_bps,participation_pct,fwd_ret_20d_net,fwd_ret_60d_net
2025-01-31,CRSP,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,headwind,0.773743,157,c88bd4cc,-0.5696,-0.1105,-0.4591,9.8,-4.325,-20.2376,-41.0223,,102899385.7,0.0,0.0,9.8,-4.325
2025-01-31,LXEO,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.203911,,c88bd4cc,-0.7399,-0.1105,-0.6294,-48.4685,-33.6937,-59.7246,-69.1911,,10225872.42,0.0,0.0,-48.4685,-33.6937
2025-01-31,RCKT,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,headwind,0.410615,1,c88bd4cc,-0.6695,-0.1105,-0.559,-10.5114,-31.5341,-21.7972,-57.3843,,7243018.0,0.0,0.0,-10.5114,-31.5341
2025-01-31,SGMT,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,headwind,0.594972,62,c88bd4cc,-0.7542,-0.1105,-0.6437,-20.279,-32.4034,-32.7485,-62.963,,3820117.64,0.0,0.0,-20.279,-32.4034
2025-01-31,AVXL,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,tailwind,0.365922,150,c88bd4cc,-0.4488,-0.1105,-0.3383,-8.4491,9.0278,-12.1924,-23.4643,,12251021.51,0.0,0.0,-8.4491,9.0278
2025-01-31,ABEO,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,neutral,0.768156,242,c88bd4cc,-0.6348,-0.1105,-0.5243,-4.5,-3.125,-15.4485,-30.5648,,8652899.88,0.0,0.0,-4.5,-3.125
2025-01-31,FATE,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.511173,,c88bd4cc,-0.8503,-0.1105,-0.7398,-11.811,0.7874,-39.7661,-60.2339,,1933850.31,0.0,0.0,-11.811,0.7874
2025-01-31,IMTX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.5,,c88bd4cc,-0.6049,-0.1105,-0.4944,-16.888,-14.2315,-28.0551,-39.759,,5112921.84,0.0,0.0,-16.888,-14.2315
2025-01-31,SANA,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,neutral,0.215084,,c88bd4cc,-0.858,-0.1105,-0.7475,-14.7059,-42.1568,-26.8072,-59.6386,,17836956.32,0.0,0.0,-14.7059,-42.1568
2025-01-31,MCRB,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.405028,,c88bd4cc,-0.6284,-0.1105,-0.5179,-8.5951,-39.3287,-13.6905,-55.9524,,2247153.99,0.0,0.0,-8.5951,-39.3287
