ticker,company_name,status,exchange,sector,etf_sources,known_delisted,exclusion_reason,model_classification,is_stale,has_any_price,last_price_date
FULC,"Fulcrum Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
GERN,Geron Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GH,"Guardant Health, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
GHRS,GH Research PLC,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GILD,"Gilead Sciences, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
GLPG,Lakefront Biotherapeutics NV,delisted,,Healthcare,,True,status=delisted,DELISTED_OR_INACTIVE,False,True,2026-06-26
GLUE,"Monte Rosa Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GMAB,Genmab A/S,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GOSS,"Gossamer Bio, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
GPCR,Structure Therapeutics Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GRAL,"GRAIL, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
GRFS,"Grifols, S.A.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
HALO,"Halozyme Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
HOWL,"Werewolf Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
HRMY,"Harmony Biosciences Holdings, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
HROW,"Harrow, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
HRTX,"Heron Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
HUMA,"Humacyte, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IBRX,"ImmunityBio, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IDYA,"IDEAYA Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IKT,"Inhibikase Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ILMN,"Illumina, Inc.",pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
IMCR,Immunocore Holdings plc,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
IMMP,Immutep Limited,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
IMRX,Immuneering Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IMTX,Immatics N.V.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
IMVT,"Immunovant, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
INBX,"Inhibrx Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
INCY,Incyte Corporation,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
INDV,"Indivior Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
INSM,Insmed Incorporated,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
INVA,"Innoviva, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
IONS,"Ionis Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
IOVA,"Iovance Biotherapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IRON,"Disc Medicine, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
IRWD,"Ironwood Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
IVVD,"Invivyd, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
JANX,"Janux Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
JAZZ,Jazz Pharmaceuticals plc,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
JBIO,"Jade Biosciences, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
KALA,"KALA BIO, Inc.",pending_coverage,,Healthcare,,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
KALV,KalVista Pharmaceuticals Inc,delisted,,Healthcare,,True,status=delisted,DELISTED_OR_INACTIVE,True,True,2026-06-12
KMDA,Kamada Ltd.,active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
KNSA,"Kiniksa Pharmaceuticals International, plc",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
KOD,Kodiak Sciences Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
KROS,"Keros Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
KRYS,"Krystal Biotech, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
KURA,"Kura Oncology, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
KYMR,"Kymera Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
KYTX,"Kyverna Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LAB,Standard BioTools Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LBRX,LB Pharmaceuticals Inc,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
LCTX,"Lineage Cell Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LEGN,Legend Biotech Corporation,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
LENZ,"LENZ Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LFCR,"Lifecore Biomedical, Inc.",pending_coverage,NASDAQ,Biotechnology,NBI,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
LGND,Ligand Pharmaceuticals Incorporated,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
LQDA,Liquidia Corporation,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
LRMR,"Larimar Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LXEO,"Lexeo Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
LYEL,"Lyell Immunopharma, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MAZE,"Maze Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MBX,"MBX Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MCRB,"Seres Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
MDGL,"Madrigal Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
MEDP,"Medpace Holdings, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MENS,Jyong Biotech Ltd.,pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
MESO,Mesoblast Limited,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MGTX,MeiraGTx Holdings plc,pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
MIRM,"Mirum Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MLTX,MoonLake Immunotherapeutics,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
MLYS,"Mineralys Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MNKD,MannKind Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
MRNA,"Moderna, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
MRVI,"Maravai LifeSciences Holdings, Inc.",pending_coverage,,Healthcare,,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
MYGN,"Myriad Genetics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NAMS,NewAmsterdam Pharma Company N.V.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
NAUT,"Nautilus Biotechnology, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
NBIX,"Neurocrine Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
