rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
154,TARA,28.71,55.84,0.1159,1.449,mid,small,none,,,,,,,,0.80500,0.95,0.30,0.6667,0.6667,1,1,False,,,stage_pivotal_not_active,,,False,0.4453,,,51,,56.00,,unknown,0,,,False,,75.0,,,,
24,SABS,55.76,55.76,0.1108,1.3847,mid,micro,none,,,,,,,,0.83500,0.95,0.45,0.6667,0.6667,1,1,False,,,no_catalyst_data,,,False,0.2244,,,51,,44.00,,unknown,0,,,False,,80.0,,,,
25,EWTX,55.72,56.75,0.1092,1.3645,mid,mid,none,,,,,,,,0.83500,0.95,0.45,12.9774,12.9774,9,9,True,strong,,,,,False,0.4750,,,51,,77.00,,unknown,0,,,False,,72.0,,,,
26,ALT,55.29,56.31,0.1076,1.3448,late,small,none,,,,,,,,0.83500,0.95,0.45,0.4449,0.4449,1,1,True,moderate,,,,,False,0.3068,,,197,,47.00,,unknown,0,,,False,,82.0,,,,
27,GLUE,55.10,56.12,0.1061,1.3257,early,small,none,,,,,,,,0.80500,0.85,0.45,2.4151,2.4151,3,3,False,,,stage_pivotal_not_active,,,True,1.5895,,,77,,75.00,,unknown,0,,,False,,55.0,,,,
28,VNDA,54.54,55.55,0.1031,1.2887,late,small,none,,,,,,,,0.87500,0.95,0.65,0.7172,0.7172,1,1,True,weak,,,,,True,0.4860,,,197,,75.00,,unknown,0,,,False,,88.0,,,,
29,SUPN,54.52,54.52,0.1046,1.307,late,mid,none,,,,,,,,0.80500,0.95,0.30,1.4608,1.4608,2,2,True,weak,,,,,False,-0.2354,,,77,,77.00,,unknown,0,,,False,,83.0,,,,
30,RARE,54.35,47.46,0.1017,1.2709,late,mid,none,,,,,,,,0.83500,0.95,0.45,6.18,6.18,5,5,False,,,stage_pivotal_not_active,,,True,-0.3918,,,108,,60.00,,unknown,1,,,True,,86.0,,,,
31,NKTX,53.95,53.95,0.0989,1.2364,early,micro,none,,,,,,,,0.83000,0.95,0.45,3.0452,3.0452,3,3,False,,,stage_early_not_active,,,False,0.0217,,,28,,86.00,,unknown,0,,,False,,66.0,,,,
32,ACAD,53.68,53.68,0.0937,1.1715,late,mid,none,,,,,,,,0.87000,0.95,0.65,8.9955,8.9955,7,7,True,strong,,,,,False,-0.1499,,,77,,61.00,,unknown,1,,,True,,83.0,,,,
