ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
AVXL,Anavex Life Sciences Corp.,,D,ineligible,D,ineligible,,0.728956,0.422156,0.5472,0.3938,0.1932,,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|none|pos,0.0219054,,drug_developer,217,0.0219054
EOLS,"Evolus, Inc. Common Stock",,D,ineligible,,,D,0.73569,,0.847,0.5221,0.3036,0.357692,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|none|pos,0.0219054,,commercial_pharma,219,0.0219054
HRTX,"Heron Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.745791,0.050898,0.8692,1.5373,1.521,,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|none|pos,0.0219054,,drug_developer,222,0.0219054
LENZ,"LENZ Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.755892,0.290419,0.5729,0.7382,0.5932,,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|none|pos,0.0219054,,drug_developer,225,0.0219054
DRUG,Bright Minds Biosciences Inc.,,D,ineligible,D,ineligible,,0.772727,0.47006,-0.083,0.1987,-0.0333,,248,specific_days,3,tailwind,,XS,ineligible,v1.3.0,0c1129f6,mid|near_181_270|nonpos,0.019881666666666666,,drug_developer,230,0.019881666666666666
CLLS,Cellectis S.A.,,D,ineligible,D,ineligible,,0.80303,0.392216,-0.7419,0.4598,0.2699,,124,specific_days,3,neutral,,XS,ineligible,v1.3.0,0c1129f6,early|near_91_180|pos,0.0,,drug_developer,239,0.0
IMRX,Immuneering Corporation,,D,ineligible,D,ineligible,,0.819865,0.07485,-0.6664,1.4807,1.4552,,95,specific_days,3,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_91_180|pos,0.0,,drug_developer,244,0.0
JANX,"Janux Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.823232,0.248503,-0.6976,0.8973,0.7779,,217,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_181_270|pos,0.0,,drug_developer,245,0.0
JBIO,"Jade Biosciences, Inc.",,D,ineligible,D,ineligible,,0.826599,0.434132,-2.0547,0.3385,0.129,,217,specific_days,3,tailwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_181_270|pos,0.0,,drug_developer,246,0.0
PYXS,"Pyxis Oncology, Inc.",,D,ineligible,D,ineligible,,0.840067,0.266467,-1.4382,0.8487,0.7215,,64,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_31_90|pos,0.0,,drug_developer,250,0.0
TCRX,"TScan Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.850168,0.10479,-0.6765,1.3834,1.3423,,95,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_91_180|pos,0.0,,drug_developer,253,0.0
TNYA,"Tenaya Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.856902,0.350299,-1.4668,0.6057,0.4392,,64,specific_days,3,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|near_31_90|pos,0.0,,drug_developer,255,0.0
AVTR,"Avantor, Inc.",,D,ineligible,,,D,0.87037,,-2.4092,,0.0,0.542308,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,platform_devices,259,-0.006355834710743803
FTRE,Fortrea Holdings Inc.,,D,ineligible,,,D,0.890572,,-2.4092,-1.3419,-1.3175,0.411538,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,commercial_biotech,265,-0.006355834710743803
ILMN,"Illumina, Inc.",,D,ineligible,,,D,0.893939,,-2.4088,,0.0,0.55,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,platform_diagnostics,266,-0.006355834710743803
MYGN,"Myriad Genetics, Inc.",,D,ineligible,,,D,0.910774,,-2.4092,,0.0,0.273077,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,platform_diagnostics,271,-0.006355834710743803
SERA,"Sera Prognostics, Inc.",,D,ineligible,,,D,0.93771,,-2.3509,,0.0,0.780769,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,platform_devices,279,-0.006355834710743803
STVN,Stevanato Group S.p.A.,,D,ineligible,,,D,0.941077,,-2.4092,,0.0,0.057692,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,platform_devices,280,-0.006355834710743803
TKNO,"Alpha Teknova, Inc.",,D,ineligible,,,D,0.944444,,-2.4092,-1.4404,-2.2201,0.280769,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,early|none|nonpos,-0.006355834710743803,,commercial_pharma,281,-0.006355834710743803
IMTX,Immatics N.V.,,D,ineligible,D,ineligible,,0.978114,0.44012,0.5464,0.332,0.1215,,552,specific_days,9,tailwind,,XS,ineligible,v1.3.0,0c1129f6,late|far_271_540|pos,-0.014091942028985506,,drug_developer,291,-0.014091942028985506
KMDA,Kamada Ltd.,,D,ineligible,,,D,0.981481,,0.8612,0.8098,0.6735,0.157692,1009,specific_days,9,tailwind,,XS,ineligible,v1.3.0,0c1129f6,late|far_271_540|pos,-0.014091942028985506,,commercial_pharma,292,-0.014091942028985506
PHAT,"Phathom Pharmaceuticals, Inc.",,D,ineligible,,,D,0.988215,,0.8561,0.8936,0.9023,0.188462,278,specific_days,9,headwind,deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|far_271_540|pos,-0.014091942028985506,,commercial_biotech,294,-0.014091942028985506
