ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
AUPH,72,41.85,0.690476,0.4972,41.85,0.766667,0.7279,late,small,none,commercial_biotech,60.70,41.25000000000000000000000000,55.5,80.50,54.10526315789473684210526316,44.04620628708496401969448302,0.8678169670180210812648758926
MBX,73,41.84,0.890476,1.2291,41.84,0.763492,0.7176,mid,small,none,drug_developer,18.42,41.25000000000000000000000000,85,60.65,66.55172413793103448275862069,51.25806451612903225806451613,0.7862530306369847917125854089
TRVI,74,41.75,0.722222,0.5895,41.75,0.760317,0.7073,mid,small,none,drug_developer,93.09,41.25000000000000000000000000,71.5,64.11,77.000,27.94276795005202913631633715,0.8352698231352301439086015599
NTRA,75,41.45,0.684127,0.4793,41.45,0.757143,0.6971,late,large,none,platform_diagnostics,55.13,41.25000000000000000000000000,53.5,46.77,72.73684210526315789473684210,35.19128181679622008840115837,0.9
IMRX,76,41.16,0.938095,1.539,41.16,0.753968,0.687,early,small,none,drug_developer,39.74,41.25000000000000000000000000,61.0,87.50,74.37500000000000000000000000,60.18181818181818181818181818,0.7005277864017385904998447687
ARDX,77,40.96,0.757143,0.6971,40.96,0.750794,0.677,late,small,none,commercial_biotech,54.12,41.25000000000000000000000000,55.5,70.06,76.84210526315789473684210527,38.56934449915134172172424918,0.8813912619018922502109196095
DNA,78,40.92,0.861905,1.0889,40.92,0.747619,0.667,late,small,none,commercial_biotech,29.06,41.25000000000000000000000000,55.0,92.62,66.73684210526315789473684210,67.84831460674157303370786517,0.8304459295261239368165249089
CDNA,79,40.82,0.738095,0.6375,40.82,0.744444,0.6571,late,small,none,platform_diagnostics,40.90,41.25000000000000000000000000,60.5,59.67,67.36842105263157894736842105,41.47301827771465443476553185,0.8791667068612082479199324732
AXSM,80,40.70,0.696825,0.5153,40.70,0.74127,0.6473,late,mid,none,commercial_biotech,79.12,45.56250000000000000000000000,71.0,48.48,70.21052631578947368421052632,35.45586676242262576519270886,0.8894624053030303030303030303
VCEL,81,40.57,0.665079,0.4264,40.57,0.738095,0.6375,late,small,none,commercial_biotech,51.02,41.25000000000000000000000000,,38.22,77.000,24.71755810854409516194644335,0.9
IRWD,82,40.56,0.925397,1.4423,40.56,0.734921,0.6278,late,small,none,commercial_pharma,19.54,41.25000000000000000000000000,,73.07,76.52631578947368421052631579,69.88764044943820224719101123,0.8485003080714725816389402341
APLS,83,40.55,0.830159,0.9548,40.55,0.731746,0.6181,late,mid,none,commercial_biotech,40.75,41.25000000000000000000000000,71.0,56.53,53.78947368421052631578947368,69.47368421052631578947368421,0.8571459588324223746947319456
JANX,84,40.00,0.78254,0.7808,40.00,0.728571,0.6085,early,small,none,drug_developer,28.35,41.25000000000000000000000000,62.0,35.96,56.56250000000000000000000000,66.36363636363636363636363636,0.7205137481910274963820549928
